"file","owner","hardcodedColor","rawControls","inlineStyles","missingAlt","libraries"
"src/components/landing/components/animated-glassy-pricing.tsx","presentation transverse / domaine de la route","13","0","0","0",""
"src/components/landing/ui/Beams.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/landing/ui/demo.tsx","presentation transverse / domaine de la route","6","0","0","0","@/components/ui/app-logo"
"src/components/landing/ui/hover-footer.tsx","presentation transverse / domaine de la route","0","0","2","0",""
"src/components/landing/ui/multi-type-ripple-buttons.tsx","presentation transverse / domaine de la route","1","4","3","0",""
"src/components/legal/legal-page.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/motion/animated-badge.tsx","shared","8","0","0","0",""
"src/components/motion/animated-number.tsx","shared","0","0","0","0",""
"src/components/motion/availability-scheduler/copy-menu.tsx","menu","0","2","0","0","@/components/motion/checkbox ; @/components/motion/popover-morph ; @/components/motion/tooltip"
"src/components/motion/availability-scheduler/day-row.tsx","shared","0","0","2","0","@/components/motion/switch ; @/components/motion/tooltip"
"src/components/motion/availability-scheduler/icon-button.tsx","shared","0","0","0","0",""
"src/components/motion/availability-scheduler/index.tsx","shared","0","0","0","0",""
"src/components/motion/availability-scheduler/time-select.tsx","shared","0","0","0","0","@/components/motion/select"
"src/components/motion/center-morph-modal.tsx","shared","0","0","2","0",""
"src/components/motion/checkbox.tsx","shared","0","0","0","0",""
"src/components/motion/drawer.tsx","shared","0","0","0","0",""
"src/components/motion/input.tsx","shared","1","1","0","0",""
"src/components/motion/loader.tsx","shared","0","0","22","0",""
"src/components/motion/popover-morph.tsx","shared","0","0","2","0",""
"src/components/motion/range-slider.tsx","shared","0","0","3","0",""
"src/components/motion/select.tsx","shared","0","1","1","0",""
"src/components/motion/stateful-button.tsx","shared","0","0","0","0","@/components/ui/button"
"src/components/motion/switch.tsx","shared","0","0","0","0",""
"src/components/motion/table/editable-cell.tsx","shared","0","1","0","0",""
"src/components/motion/table/index.tsx","shared","0","1","6","0","@/components/motion/checkbox"
"src/components/motion/table/row-handle.tsx","shared","0","0","1","0",""
"src/components/motion/table/skeleton-rows.tsx","shared","0","0","1","0",""
"src/components/motion/table/table-header.tsx","shared","0","4","4","0","@/components/motion/checkbox"
"src/components/motion/table/table-menu.tsx","menu","2","2","1","0",""
"src/components/motion/tabs.tsx","shared","0","2","1","0",""
"src/components/motion/text-reveal.tsx","shared","0","0","0","0",""
"src/components/motion/tooltip.tsx","shared","0","0","2","0",""
"src/components/offline-provider.tsx","shared / infrastructure UI","1","0","0","0",""
"src/components/offline-screen.tsx","shared / infrastructure UI","5","1","0","0",""
"src/components/onboarding/DashboardView.tsx","partners","73","4","0","0",""
"src/components/onboarding/InteractiveMap.tsx","partners","2","0","0","0","@/components/ui/button ; @/components/ui/map"
"src/components/onboarding/Sidebar.tsx","partners","18","0","0","0",""
"src/components/onboarding/StepAddress.tsx","partners","21","0","0","0","@/components/motion/input ; @/components/motion/select ; @/components/ui/label"
"src/components/onboarding/StepGeneral.tsx","partners","31","2","0","0","@/components/motion/input ; @/components/motion/select ; @/components/ui/input ; @/components/ui/label ; @/components/ui/textarea"
"src/components/onboarding/StepMenu.tsx","partners","30","1","0","0","@/components/motion/input ; @/components/motion/select ; @/components/motion/stateful-button ; @/components/ui/button ; @/components/ui/input ; @/components/ui/label ; @/components/ui/textarea"
"src/components/onboarding/StepOverview.tsx","partners","51","0","0","0",""
"src/components/onboarding/StepSchedule.tsx","partners","5","0","0","0",""
"src/components/onboarding/StepSettings.tsx","partners","30","2","0","0","@/components/ui/button"
"src/components/onboarding/StepSocials.tsx","partners","40","3","0","0","@/components/motion/input"
"src/components/partner/partner-navigation.tsx","partners","20","0","0","0","@/components/ui/app-logo ; @/components/ui/button ; @/components/ui/sheet"
"src/components/partner/partner-reservations-workspace.tsx","residences","2","0","0","0","@/components/motion/tabs ; @/components/ui/alert ; @/components/ui/alert-dialog ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/checkbox ; @/components/ui/dialog ; @/components/ui/input ; @/components/ui/label ; @/components/ui/select ; @/components/ui/table ; @/components/ui/textarea"
"src/components/partner/residence-calendar-manager.tsx","residences","5","0","0","0","@/components/motion/stateful-button ; @/components/ui/button ; @/components/ui/input ; @/components/ui/label"
"src/components/public-page/about-us.tsx","presentation transverse / domaine de la route","0","0","0","0","@/components/ui/avatar ; @/components/ui/badge ; @/components/ui/separator"
"src/components/public-page/footer.tsx","presentation transverse / domaine de la route","0","0","0","0","@/components/ui/button ; @/components/ui/map ; @/components/ui/separator"
"src/components/public-page/gallery-section.tsx","presentation transverse / domaine de la route","16","5","0","0",""
"src/components/public-page/hero.tsx","presentation transverse / domaine de la route","14","1","0","0","@/components/ui/button"
"src/components/public-page/main.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/public-page/menu-modal.tsx","menu","1","0","0","0","@/components/motion/tabs ; @/components/ui/button ; @/components/ui/dialog ; @/components/ui/input"
"src/components/public-page/navbar.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/public-page/practical-details.tsx","presentation transverse / domaine de la route","0","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/separator"
"src/components/public-page/practical-info.tsx","presentation transverse / domaine de la route","16","1","0","0",""
"src/components/public-page/reserve-modal.tsx","presentation transverse / domaine de la route","35","10","0","0",""
"src/components/public-page/reviews-section.tsx","presentation transverse / domaine de la route","55","6","0","0",""
